chambres,prix,source,surface,titre,type_bien,type_transaction,ville
4,435000.0,tayara,168.0,RIADH AL ANDALOUSE : APPARTEMENT S4 AVEC TERRASSE A VENDRE,Appart,À Vendre,Ariana
3,390000.0,tayara,120.0,RIADH EL ANDALOUS APPARTEMENTS S3 À VENDRE,Appart,À Vendre,Ariana
3,365000.0,tayara,147.0,GHAZELA : APPARTEMENT S3 A VENDRE,Appart,À Vendre,Ariana
2,420000.0,tayara,90.0,Appartement à cité El Agba S2,Appart,À Vendre,Monastir
4,400000.0,tayara,115.0,Maison arabe a 2etage a beb saadoun,House,À Vendre,Tunis
2,240000.0,tayara,116.0,Appartement S2 à vendre 54 193 555,Appart,À Vendre,Sousse
2,240000.0,tayara,95.0,Appartement 95 m² haut standing à hamam ghzez,Appart,À Vendre,Nabeul
2,250000.0,tayara,101.0,À Vendre S2 à Hergla Proche de la mer,Appart,À Vendre,Sousse
2,530000.0,tayara,118.0,S2 avec Vue Mer et Jacuzzi,Appart,À Vendre,Sousse
2,310000.0,tayara,114.0,S2 Haut Standing à Sahloul 4 avec vue panoramique,Appart,À Vendre,Tunis
2,159000.0,tayara,63.0,S2 à Chatt Mariem à 159000 TND,Appart,À Vendre,Tunis
1,200000.0,tayara,56.0,S1 à vendre à Khzema prés Rezgui 100m de la route touristique,Appart,À Vendre,Sousse
3,400000.0,tayara,269.0,Maison avec piscine en cours de construction à Kelibia,House,À Vendre,Nabeul
3,110.0,tayara,100.0,vente appartement kssar said 2 110milles dinars,Appart,À Vendre,La Manouba
6,160.0,tayara,140.0,Villa à vendre : bejaoua manouba,House,À Vendre,La Manouba
2,330000.0,tayara,108.0,A vendre s2 à la soukra park,Appart,À Vendre,Ariana
3,12345.0,tayara,620.0,villa centre ville saint germai,House,À Vendre,Ben Arous
3,299000.0,tayara,118.0,app s3 à borj cedria,Appart,À Vendre,Ben Arous
2,185000.0,tayara,152.0,appartement 1ere etage a jinen mansoura kelibia,Appart,À Vendre,Nabeul
2,160000.0,tayara,102.0,Appartement à Vendre à lR6,Appart,À Vendre,Monastir
6,1800000.0,tayara,400.0,Villa s6 Carthage Byrsa,House,À Vendre,Tunis
7,410000.0,tayara,220.0,S6 titre individuel fait le coin à ariana essoghra,House,À Vendre,Ariana
7,1300000.0,tayara,400.0,Villa S7 à Menzah 9A sur artère principale,House,À Vendre,Tunis
2,349998.0,tayara,500.0,AV coquette maison de 500mpiscine à hammamet 99958728,House,À Vendre,Nabeul
2,205000.0,tayara,100.0,Appartements Haut standing en cours de construction à Hammam ghzeez,Appart,À Vendre,Nabeul
4,365000.0,tayara,281.0,"للبيع فيلا طريق المطار كلم 4,5 صفاقس(قرب كلية الاداب)",House,À Vendre,Sfax
-1,295000.0,tayara,113.5,شقة فاخرة طابق أرضي بإقامة أثينا في سهلول 4 -سوسة,Appart,À Vendre,Sousse
2,130000.0,tayara,80.0,Appartement Mourouj 2,Appart,À Vendre,Ben Arous
7,3100000000.0,tayara,886.0,maison centre ville de nabeul,House,À Vendre,Nabeul
5,350000.0,tayara,154.0,Duplex à Vendre à Cité Jalaa - Bizerte,House,À Vendre,Bizerte
2,479999.0,tayara,90.0,A vendre en face Hotel Radisson Blu Hammamet 53.564.536,Appart,À Vendre,Nabeul
2,210000.0,tayara,65.0,a vendre un appart S1 a ennasr 2,Appart,À Vendre,Ariana
5,2000000.0,tayara,1200.0,opportunité exceptionnelle pour promoteur immobilier au bardo,House,À Vendre,Tunis
3,315000.0,tayara,126.0,A vendre appartement s3 hst à Manouba,Appart,À Vendre,La Manouba
3,210000.0,tayara,100.0,A vendre appartement s3 au Bardo centre,Appart,À Vendre,Tunis
3,299000.0,tayara,100.0,A vendre appartement S3 au bardo 2 ras tabia,Appart,À Vendre,Tunis
2,890000.0,tayara,315.0,À vendre un appartement avec jardin vue lac,Appart,À Vendre,Tunis
7,540000.0,tayara,360.0,À vendre immeuble à Borj Louzir,Appart,À Vendre,Ariana
3,399999.0,tayara,1500.0,A vendre une villa avec un grand terrain à Djerba midoun,House,À Vendre,Mdenine
4,430.0,tayara,671.0,فيلا للبيع في زاوية مرناق (happy Land),House,À Vendre,Ben Arous
3,256000.0,tayara,140.0,s3 style duplex manar,Appart,À Vendre,Tunis
5,630000.0,tayara,345.0,villa montfleury,House,À Vendre,Tunis
5,1300000.0,tayara,405.0,Une villa à vendre à chatt mariam Sousse .,House,À Vendre,Sousse
4,460000.0,tayara,183.0,À vendre S3 A ennassr 2,Appart,À Vendre,Ariana
13,800000.0,tayara,200.0,Maison spacieuse avec trois étages indépendants studio dans un emplacement privilégié,House,À Vendre,Tunis
1,125000.0,tayara,46.0,appartement s1 à vendre à chott mariem-souse,Appart,À Vendre,Sousse
8,2100000000.0,tayara,450.0,Villa de prestige a ALAIN SAVARY Tunis,House,À Vendre,Tunis
3,160000.0,tayara,90.0,A vendre Appartement s3 à Taher sfar,Appart,À Vendre,Ben Arous
1,500.0,tayara,80.0,Location S1,House,À Vendre,Gabs
1,125000.0,tayara,600.0,للبيع ستوديو 600م بالحمامات الجنوبية 99202001,House,À Vendre,Nabeul
2,270000.0,tayara,100.0,appartement s2 à sahloul 4 à vendre-sousse .,Appart,À Vendre,Sousse
1,260000.0,tayara,65.0,A VENDRE APPARTEMENT S1 BOUMHEL,Appart,À Vendre,Ben Arous
2,190000.0,tayara,65.0,A vendre un joli appartement S1 à Ain Zaghouan Nord,Appart,À Vendre,Tunis
5,310.0,tayara,140.0,Villa duplex 2 niveaux,House,À Vendre,Tunis
4,3000.0,tayara,400.0,a louer villa s4 a ennasr,House,À Vendre,Ariana
4,320000.0,tayara,106.0,AV appartement à Ariana Essoughra,Appart,À Vendre,Ariana
4,320000.0,tayara,106.0,AV appartement S3 ariana essoghra,Appart,À Vendre,Ariana
3,200.0,tayara,100.0,quatre Appartement à vendre,Appart,À Vendre,Ariana
4,1400000.0,tayara,650.0,villa VERSACE,House,À Vendre,Nabeul
4,1180000.0,tayara,446.0,Villa Melody,House,À Vendre,Nabeul
4,750000.0,tayara,250.0,Villa BULGARI,House,À Vendre,Nabeul
6,370000.0,tayara,315.0,VILLA ENZO,House,À Vendre,Nabeul
3,790000.0,tayara,500.0,Villa Domino,House,À Vendre,Nabeul
2,280000.0,tayara,117.0,Appartement S2 La Sokra 117m2,Appart,À Vendre,Ariana
2,150000.0,tayara,98.0,Appartement S2 de 98 m² à la Nouvelle Médina,Appart,À Vendre,Ben Arous
6,395000.0,tayara,260.0,Maison Bab Assal sur 2 étages,House,À Vendre,Tunis
1,210000.0,tayara,62.0,s1 Ennasr,Appart,À Vendre,Ariana
1,135000.0,tayara,60.0,studio manar1,Appart,À Vendre,Tunis
1,58651184.0,tayara,1.0,Des studios s0 meublés à louer à chat meriem Sousse tel 58651184,Appart,À Vendre,Sousse
4,140.0,tayara,400.0,Maison individuelle,House,À Vendre,La Manouba
4,390000.0,tayara,200.0,villa jumelé cité sahafa ghazela,House,À Vendre,Ariana
3,900000.0,tayara,1800.0,A Vendre Villa pied dans leau à Ras Jebel,House,À Vendre,Bizerte
2,310000.0,tayara,100.0,𝐀 𝐯𝐞𝐧𝐝𝐫𝐞 𝐮𝐧 𝐚𝐩𝐩𝐚𝐫𝐭𝐞𝐦𝐞𝐧𝐭 𝐒𝟐 𝐚 𝐇𝐚𝐦𝐦𝐚𝐦𝐞𝐭 𝐬𝐮𝐝,Appart,À Vendre,Nabeul
3,370000.0,tayara,120.0,IMMENSE S3 à VENDRE A SAHLOUL,Appart,À Vendre,Sousse
3,690000.0,tayara,537.0,Villa LOMBOK,House,À Vendre,Nabeul
4,930000.0,tayara,510.0,Villa Martin,House,À Vendre,Nabeul
3,380000.0,tayara,107.0,Appartement Zahra,Appart,À Vendre,Tunis
3,750000.0,tayara,203.0,Villa SAFRAN,House,À Vendre,Nabeul
3,245000.0,tayara,90.0,manar appt au 1ère étage av ascenseur,Appart,À Vendre,Tunis
2,250000.0,tayara,120.0,appartement chattmeriem,Appart,À Vendre,Sousse
3,270000.0,tayara,85.0,appartement neuf haute standing,Appart,À Vendre,Tunis
4,330.0,tayara,208.0,Petite villa à ne pas rater. Residence el Montazah. Enkhilette Ariana,House,À Vendre,Ariana
8,300.0,tayara,200.0,A vendre un belle maison,House,À Vendre,Tunis
5,2000000.0,tayara,1200.0,opportunité exceptionnelle pour promoteur immobilier au bardo,House,À Vendre,Tunis
7,2400000.0,tayara,600.0,Une superbe maison et un immeuble a beb mnara,House,À Vendre,Tunis
8,600.0,tayara,550.0,villa,House,À Vendre,Nabeul
3,190000.0,tayara,105.0,maison a vendre haouaria centre ville clé en main 5 min a pied de la mer,House,À Vendre,Nabeul
3,290000.0,tayara,150.0,maison s3 a vendre haouaria plage 1 min a pied,House,À Vendre,Nabeul
22,2300000.0,tayara,674.0,Maison appartements magasins,House,À Vendre,Jendouba
