chambres,prix,source,surface,titre,type_bien,type_transaction,ville
2,370000.0,mubawab,86.0,Find an apartment to buy in Cité Ennasr 2.2 rooms. Double glazing and reinforced door,Appart,À Vendre,Ariana
3,630000.0,mubawab,168.0,"Apartment for rent in Les Berges Du Lac 2.1 Living area. With Lift, Carpark",Appart,À Vendre,La Marsa
3,1050000.0,mubawab,220.0,"Beautiful apartment for sale in Les Berges Du Lac 2. 3 lovely rooms. Exceptional sea view, central heating.",Appart,À Vendre,La Marsa
4,700000.0,mubawab,140.0,Find an apartment to buy in Les Berges Du Lac 2.4 rooms. Well furnished,Appart,À Vendre,La Marsa
2,1260000.0,mubawab,180.0,"Beautiful villa for rent in Les Jardins de Carthage. 2 comfortable rooms. Carpark, Balcony",House,À Vendre,Le Kram
3,642000.0,mubawab,160.0,"Sale of a lovely apartment. Surface area 160 m². Caretaker service available, air conditioning",Appart,À Vendre,Bizerte
4,850000.0,mubawab,473.0,Magnificent villa for sale in Montfleury. 6 lovely rooms. Beautiful terrace and garden,House,À Vendre,Tunis
2,1650000.0,mubawab,476.0,House for sale in Erriadh. 2 rooms. Basement,House,À Vendre,Le Kram
6,900000.0,mubawab,313.0,Magnificent villa for sale in Hammamet. 6 rooms. Gardeners,House,À Vendre,Hammamet
4,320000.0,mubawab,131.0,"Beautiful apartment for sale in El Manar 2. Area 131 m². General satellite dish system, On site security",Appart,À Vendre,El Menzah
2,380000.0,mubawab,160.0,"Sale of a lovely apartment in Aouina. Dimension 160 m². Green area, Balcony",Appart,À Vendre,La Marsa
3,450000.0,mubawab,135.0,Home to buy. 3 lovely rooms. Beautiful terrace and garden,House,À Vendre,Tezdaine
1,232000.0,mubawab,62.0,"Apartment to purchase in Ain Zaghouan. Surface area 62 m². Secured door, Enclosed residence",Appart,À Vendre,La Marsa
3,592500.0,mubawab,279.0,Apartment for sale in Neapolis. 3 beautiful rooms. Furnished,Appart,À Vendre,Nabeul
2,230000.0,mubawab,110.0,Home to buy. Total area 110 m². Garden and garage,House,À Vendre,Kélibia
6,470000.0,mubawab,170.0,Very nice house for sale. 6 large living areas. Basement,House,À Vendre,Kélibia
1,540000.0,mubawab,207.0,House to buy in Aouina. Dimension 207 m². Parking spaces and terrace,House,À Vendre,La Marsa
2,291292.0,mubawab,110.0,Apartment to purchase in Kairouan Ville. 2 beautiful rooms. Large balcony,Appart,À Vendre,Kairouan
6,1350000.0,mubawab,2967.0,Fabulous villa for sale. Small area 2967 m². Fully furnished.,House,À Vendre,Menzel Temime
2,450000.0,mubawab,145.0,Beautiful apartment for sale in Yasmine Hammamet. 2 lovely rooms. Reinforced door and central heating,Appart,À Vendre,Hammamet
2,420000.0,mubawab,100.0,Sell apartment in Yasmine Hammamet. Surface area 100 m². Attic.,Appart,À Vendre,Hammamet
2,375000.0,mubawab,140.0,"Beautiful apartment for sale in Ain Zaghouan Sud. 3 beautiful rooms. Cellar, Large terrace",Appart,À Vendre,La Marsa
2,295000.0,mubawab,109.0,Beautiful apartment for sale in Les Jardins dEl Menzah 2.3 large rooms. Fully equipped kitchen,Appart,À Vendre,Ariana
6,660000.0,mubawab,263.0,Luxury home for sale in El Omrane. 6 beautiful rooms. Garage and terrace,House,À Vendre,El Omrane
2,880000.0,mubawab,415.0,"Apartment to purchase in Gammarth. 3 rooms. Double glazed window, Central air conditioning",Appart,À Vendre,La Marsa
3,850000.0,mubawab,284.0,Luxury Villa for sale in Cité des Juges. 4 large rooms. Carpark and terrace,House,À Vendre,La Marsa
1,209000.0,mubawab,83.0,Find an apartment to buy in Aouina. 2 large rooms. Air conditioning,Appart,À Vendre,La Marsa
2,390000.0,mubawab,185.0,Apartment for sale in Aouina. Surface area 185 m². Carpark and terrace,Appart,À Vendre,La Marsa
2,224190.0,mubawab,95.0,Apartment to purchase in Kairouan Ville. Total area 95 m²,Appart,À Vendre,Kairouan
4,890000.0,mubawab,500.0,"High quality house for sale in Hammamet Nord. Surface area 500 m². Beautiful sea view, Double glazing",House,À Vendre,Hammamet
1,190000.0,mubawab,65.0,Fabulous apartment for sale in Ain Zaghouan Nord. 2 rooms. Fully furnished,Appart,À Vendre,La Marsa
2,330000.0,mubawab,90.0,Fabulous apartment for sale in Chotrana 3.2 rooms. Central heating and reinforced door,Appart,À Vendre,La Soukra
3,480000.0,mubawab,129.0,Apartment for sale in Bhar Lazreg. 3 rooms.,Appart,À Vendre,La Marsa
3,1300000.0,mubawab,200.0,Find an apartment to buy in Les Berges Du Lac 2.3 lovely rooms. Garden and garage,Appart,À Vendre,La Marsa
7,850000.0,mubawab,235.0,"Home to buy in Bhar Lazreg. Large area 235 m². Green area, Balcony",House,À Vendre,La Marsa
4,1100000.0,mubawab,530.0,Fabulous house for sale in Ariana. Surface area 530 m²,House,À Vendre,Ariana
3,257500.0,mubawab,100.0,House for sale in La Manouba. 4 large rooms. Air conditioning system,House,À Vendre,La Manouba
3,250000.0,mubawab,120.0,Apartment for sale in Ariana. Area 120 m². Garage and terrace,Appart,À Vendre,Ariana
4,425000.0,mubawab,176.0,Sale of a lovely apartment in Aouina. 4 beautiful rooms. Double glazing and central heating,Appart,À Vendre,La Marsa
3,460000.0,mubawab,157.0,Apartment to purchase in Cité Ennasr 1. Surface area 157 m². With lift and terrace,Appart,À Vendre,Ariana
2,287000.0,mubawab,113.0,"Sale of a lovely apartment in El Mourouj 6.2 lovely rooms. Secured door, Enclosed residence",Appart,À Vendre,El Mourouj
2,291292.0,mubawab,105.0,Sale of a lovely apartment in Kairouan Ville. 3 large living areas. Terrace and garden,Appart,À Vendre,Kairouan
2,223532.0,mubawab,95.0,Apartment for sale in Kairouan Ville. Area of 95 m². Equipped kitchen,Appart,À Vendre,Kairouan
2,188634.0,mubawab,80.0,Apartment for sale in Kairouan Ville. Dimension 80 m²,Appart,À Vendre,Kairouan
3,1260000.0,mubawab,208.0,"Apartment for sale in Les Jardins de Carthage. 3 beautiful rooms. Secured door, Enclosed residence",Appart,À Vendre,Le Kram
